COMUNA_,precio_m2_avg,volumen
1,2796.6422018348626,1417
2,3998.7520661157023,484
3,2232.3825503355706,596
4,1661.4928774928776,351
5,2282.258675078864,317
6,2861.7772511848343,211
7,2139.712401055409,379
8,1492.0533333333333,75
9,1847.835390946502,243
10,2067.5482758620687,290
11,2387.0310344827585,290
12,2846.2526315789473,285
13,3711.693670886076,395
14,3858.513422818792,596
15,2809.382945736434,645
